ID,Name,Description,Instructor
461AG, Museum Informatics,"This is a hybrid course that meets with IS 461AU and IS 461AO. Covers information organization and access in museums, exploring the relationship between information technology and modern museum environments. Students learn about classification systems for museums, computer systems for information storage and retrieval, universal access to shared electronic data, copyright in the digital world, virtual museums, interactive exhibits, and information management in museums, through lectures, computer-based activities, and interactive discussions. The final project involves design of an electronic portfolio of virtual museum resources. Students are encouraged to approach class topics from their individual backgrounds in the humanities, sciences, or social sciences. The course examines various ways that information technologies are and might be used in museums and other cultural heritage settings. Museum websites, visitor apps, interactive exhibits, and uses of digitized and federated collections are explored. Students gain an introduction to Design Thinking by working on a final project that involves the development of a novel computational resource. Students are encouraged to approach class topics from their individual backgrounds in the humanities, sciences, or social sciences. Course Information: 4 undergraduate hours. 4 graduate hours. Prerequisite: Junior or senior standing and consent of instructor for undergraduates; consent of instructor for non-iSchool graduate students for on-campus sections.
",Michael Twidale
461AO, Museum Informatics,"This is a hybrid course that meets with IS 461AU and IS 461AO. Covers information organization and access in museums, exploring the relationship between information technology and modern museum environments. Students learn about classification systems for museums, computer systems for information storage and retrieval, universal access to shared electronic data, copyright in the digital world, virtual museums, interactive exhibits, and information management in museums, through lectures, computer-based activities, and interactive discussions. The final project involves design of an electronic portfolio of virtual museum resources. Students are encouraged to approach class topics from their individual backgrounds in the humanities, sciences, or social sciences. The course examines various ways that information technologies are and might be used in museums and other cultural heritage settings. Museum websites, visitor apps, interactive exhibits, and uses of digitized and federated collections are explored. Students gain an introduction to Design Thinking by working on a final project that involves the development of a novel computational resource. Students are encouraged to approach class topics from their individual backgrounds in the humanities, sciences, or social sciences. Course Information: 4 undergraduate hours. 4 graduate hours. Prerequisite: Junior or senior standing and consent of instructor for undergraduates; consent of instructor for non-iSchool graduate students for on-campus sections.
",Michael Twidale
461AU, Museum Informatics,"This is a hybrid course that meets with IS 461AU and IS 461AO. Covers information organization and access in museums, exploring the relationship between information technology and modern museum environments. Students learn about classification systems for museums, computer systems for information storage and retrieval, universal access to shared electronic data, copyright in the digital world, virtual museums, interactive exhibits, and information management in museums, through lectures, computer-based activities, and interactive discussions. The final project involves design of an electronic portfolio of virtual museum resources. Students are encouraged to approach class topics from their individual backgrounds in the humanities, sciences, or social sciences. The course examines various ways that information technologies are and might be used in museums and other cultural heritage settings. Museum websites, visitor apps, interactive exhibits, and uses of digitized and federated collections are explored. Students gain an introduction to Design Thinking by working on a final project that involves the development of a novel computational resource. Students are encouraged to approach class topics from their individual backgrounds in the humanities, sciences, or social sciences. Course Information: 4 undergraduate hours. 4 graduate hours. Prerequisite: Junior or senior standing and consent of instructor for undergraduates; consent of instructor for non-iSchool graduate students for on-campus sections.
",Michael Twidale
462G4, Information Assurance,"Meets with IS 462 UG3. The course provides an introduction to the concepts, technologies, practices and challenges of Information Assurance. It takes a broad view of Information Security and Privacy and covers the essential principles for the protection of information systems; the relevant technologies; organizational concerns; policies, human aspects; legal approaches; criminology; and ethical issues. Students will gain an appreciation for the difficulty of designing, developing, deploying and maintaining information systems, services and software products that are secure and comply with expectations of security and privacy. Course Information: 3 undergraduate hours. 4 graduate hours.
",Masooda bashir
462UG3, Information Assurance,"Meets with IS 462 G4. The course provides an introduction to the concepts, technologies, practices and challenges of Information Assurance. It takes a broad view of Information Security and Privacy and covers the essential principles for the protection of information systems; the relevant technologies; organizational concerns; policies, human aspects; legal approaches; criminology; and ethical issues. Students will gain an appreciation for the difficulty of designing, developing, deploying and maintaining information systems, services and software products that are secure and comply with expectations of security and privacy. Course Information: 3 undergraduate hours. 4 graduate hours.",Masooda bashir
483A, Ugrad Bioinformatics Seminar,Course Information: Same as CPSC 491 and INFO 491. See INFO 491., Sandra Rodriguez-Zas
490DB, Introduction to Databases,"The course provides students with both theoretical and practical training in good database design. By the end of the course students will create a conceptual data model using entity-relationship diagrams, understand the importance of referential integrity and how to enforce data integrity constraints when creating a database. Students will be proficient in writing basic queries in the structured query language (SQL) and have a general understanding of relational database theory including normalization. Directed and supervised investigation of selected topics in information studies that may include among others the social, political, and historical contexts of information creation and dissemination; computers and culture; information policy; community information systems; production, retrieval and evaluation of knowledge; computer-mediated communication. Course Information: Additional fees may apply. See Class Schedule. 2 to 4 undergraduate hours. 2 to 4 graduate hours. May be repeated. Prerequisite: For undergraduates, junior standing and IS 202, or consent of instructor. Class Schedule Information: Class materials fee or field trip fee may be required.
",Catherine Blake
490DBO,Introduction to Databases,"Directed and supervised investigation of selected topics in information studies that may include among others the social, political, and historical contexts of information creation and dissemination; computers and culture; information policy; community information systems; production, retrieval and evaluation of knowledge; computer-mediated communication. Course Information: Additional fees may apply. See Class Schedule. 2 to 4 undergraduate hours. 2 to 4 graduate hours. May be repeated. Prerequisite: For undergraduates, junior standing and IS 202, or consent of instructor. Class Schedule Information: Class materials fee or field trip fee may be required.",Kevin Trainor
490GHU, Global Health Informatics,"The course will examine the current state of global health informatics from both a local and global perspective, including opportunities and challenges. Focus will be placed on the transition from paper-based records to electronic systems, with a particular emphasis on large international open-source initiatives and use of mobile devices. Guest speakers will share their experiences with WHO, international education based on mobile devices, and regulatory issues. Meets with IS 590 GHG. Directed and supervised investigation of selected topics in information studies that may include among others the social, political, and historical contexts of information creation and dissemination; computers and culture; information policy; community information systems; production, retrieval and evaluation of knowledge; computer-mediated communication. Course Information: Additional fees may apply. See Class Schedule. 2 to 4 undergraduate hours. 2 to 4 graduate hours. May be repeated. Prerequisite: For undergraduates, junior standing and IS 202, or consent of instructor. Class Schedule Information: Class materials fee or field trip fee may be required.
",Ian Brooks
490GI,Geographic Information Systems,"This course introduces geographic information systems in the broader context of information management in business, government, and civil society. It highlights the importance of location and information about location across these realms. In addition to substantial hands-on work with traditional geographic information systems software, the course will provide exposure to other systems of people, processes, hardware, and software for collecting, managing, analyzing, and visualizing information about locations on the surface of the earth. Directed and supervised investigation of selected topics in information studies that may include among others the social, political, and historical contexts of information creation and dissemination; computers and culture; information policy; community information systems; production, retrieval and evaluation of knowledge; computer-mediated communication. Course Information: Additional fees may apply. See Class Schedule. 2 to 4 undergraduate hours. 2 to 4 graduate hours. May be repeated. Prerequisite: For undergraduates, junior standing and IS 202, or consent of instructor. Class Schedule Information: Class materials fee or field trip fee may be required.
",Charles Linville
490ITG,Geographic Information Systems,"This course introduces geographic information systems in the broader context of information management in business, government, and civil society. It highlights the importance of location and information about location across these realms. In addition to substantial hands-on work with traditional geographic information systems software, the course will provide exposure to other systems of people, processes, hardware, and software for collecting, managing, analyzing, and visualizing information about locations on the surface of the earth. Directed and supervised investigation of selected topics in information studies that may include among others the social, political, and historical contexts of information creation and dissemination; computers and culture; information policy; community information systems; production, retrieval and evaluation of knowledge; computer-mediated communication. Course Information: Additional fees may apply. See Class Schedule. 2 to 4 undergraduate hours. 2 to 4 graduate hours. May be repeated. Prerequisite: For undergraduates, junior standing and IS 202, or consent of instructor. Class Schedule Information: Class materials fee or field trip fee may be required.
",Charles Linville
490ITU,Entrepreneurial IT Design,"Introduces students to a range of rapid prototyping techniques and methods to analyze needs, opportunities and design spaces. Students will work in teams to develop ideas for novel computational devices or applications to meet identified needs. Covers the interlinked entrepreneurial skills of identifying an unmet need, exploiting technological opportunities, exploring a design space to refine an idea, and communicating a design vision through demonstrations with prototypes and proofs of concept. This enables developers to show how their envisaged working interactive technology will be used productively in a particular real-life context. Communicating the vision of computational devices is a challenge because dynamic use in context is hard for people other than the device's developers to imagine. The ability to produce convincing, clear, powerful demonstrations even at the early stages of a project is a highly valuable entrepreneurial skill, and also highly applicable within an organiza Directed and supervised investigation of selected topics in information studies that may include among others the social, political, and historical contexts of information creation and dissemination; computers and culture; information policy; community information systems; production, retrieval and evaluation of knowledge; computer-mediated communication. Course Information: Additional fees may apply. See Class Schedule. 2 to 4 undergraduate hours. 2 to 4 graduate hours. May be repeated. Prerequisite: For undergraduates, junior standing and IS 202, or consent of instructor. Class Schedule Information: Class materials fee or field trip fee may be required.
",Michael Twidale
490SMG, Social Media and Global Change,"2 or 4 credits. This course covers the impact of global and national computer networks on politics, culture, and social relations during a time of upheaval and revolutionary change. Topics may include the new social media, the politics and culture of the internet, hacktivism, cyber warfare, and mobile telephony and their role in the formation, dissemination, manipulation, and suppression of public opinion in Russia/Eurasia, the China/Pacific region, Central/South America, as well as Africa, Iran, and the Middle East. Directed and supervised investigation of selected topics in information studies that may include among others the social, political, and historical contexts of information creation and dissemination; computers and culture; information policy; community information systems; production, retrieval and evaluation of knowledge; computer-mediated communication. Course Information: Additional fees may apply. See Class Schedule. 2 to 4 undergraduate hours. 2 to 4 graduate hours. May be repeated. Prerequisite: For undergraduates, junior standing and IS 202, or consent of instructor. Class Schedule Information: Class materials fee or field trip fee may be required.
",Damian Duffy
490SMU, Social Media and Global Change,"2 or 4 credits. This course covers the impact of global and national computer networks on politics, culture, and social relations during a time of upheaval and revolutionary change. Topics may include the new social media, the politics and culture of the internet, hacktivism, cyber warfare, and mobile telephony and their role in the formation, dissemination, manipulation, and suppression of public opinion in Russia/Eurasia, the China/Pacific region, Central/South America, as well as Africa, Iran, and the Middle East. Directed and supervised investigation of selected topics in information studies that may include among others the social, political, and historical contexts of information creation and dissemination; computers and culture; information policy; community information systems; production, retrieval and evaluation of knowledge; computer-mediated communication. Course Information: Additional fees may apply. See Class Schedule. 2 to 4 undergraduate hours. 2 to 4 graduate hours. May be repeated. Prerequisite: For undergraduates, junior standing and IS 202, or consent of instructor. Class Schedule Information: Class materials fee or field trip fee may be required.
",Damian Duffy
490TEO, Intro to Technology in LIS,"2 or 4 credits. This is an introductory course in the fundamentals of technology in LIS. Following an overview of information system concepts, terminology and usage in organizations, there will be discussions covering a wide variety of topics including hardware and software, systems development (traditional and modern methods), programming languages, databases and the internet. Special attention will be paid to the knowledge and skills needed to succeed at the iSchool (servers, file access and management, office software, markup languages, website design and development, etc.) and LIS professional settings. Application of concepts is key. Readings will be supplemented with hands-on exercises and collaborative projects. Directed and supervised investigation of selected topics in information studies that may include among others the social, political, and historical contexts of information creation and dissemination; computers and culture; information policy; community information systems; production, retrieval and evaluation of knowledge; computer-mediated communication. Course Information: Additional fees may apply. See Class Schedule. 2 to 4 undergraduate hours. 2 to 4 graduate hours. May be repeated. Prerequisite: For undergraduates, junior standing and IS 202, or consent of instructor. Class Schedule Information: Class materials fee or field trip fee may be required.
",Amanda McLellan
501A, Info Org and Access,"This is a 10 week course ending March 30, 2018. Meets with IS 501 B (Lecture). All other students must contact Professor Jodi Schneider at jodi@illinois.edu for approval. Emphasizes information organization and access in settings and systems of different kinds. Traces the information transfer process from the generation of knowledge through its storage and use in both print and non-print formats. Consideration will be given to the creation of information systems: the principles and practice of selection and preservation, methods of organizing information for retrieval and display, the operation of organizations that provide information services, and the information service needs of various user communities. Course Information: 4 graduate hours. No professional credit. Required M.S. in library and information science degree core course.
","Melissa Ocepek, Jodi Schneider"
501AO, Info Org and Access,"Required core course for MS/LIS students. Emphasizes information organization and access in settings and systems of different kinds. Traces the information transfer process from the generation of knowledge through its storage and use in both print and non-print formats. Consideration will be given to the creation of information systems: the principles and practice of selection and preservation, methods of organizing information for retrieval and display, the operation of organizations that provide information services, and the information service needs of various user communities. Course Information: 4 graduate hours. No professional credit. Required M.S. in library and information science degree core course.",Linda Smith
501AO2, Info Org and Access,"Required core course for MS/LIS students. Emphasizes information organization and access in settings and systems of different kinds. Traces the information transfer process from the generation of knowledge through its storage and use in both print and non-print formats. Consideration will be given to the creation of information systems: the principles and practice of selection and preservation, methods of organizing information for retrieval and display, the operation of organizations that provide information services, and the information service needs of various user communities. Course Information: 4 graduate hours. No professional credit. Required M.S. in library and information science degree core course.",Linda Smith
501B, Info Org and Access,"This is a 10 week course ending March 30, 2018. Meets with IS 501 B (Lecture). All other students must contact Professor Jodi Schneider at jodi@illinois.edu for approval. Emphasizes information organization and access in settings and systems of different kinds. Traces the information transfer process from the generation of knowledge through its storage and use in both print and non-print formats. Consideration will be given to the creation of information systems: the principles and practice of selection and preservation, methods of organizing information for retrieval and display, the operation of organizations that provide information services, and the information service needs of various user communities. Course Information: 4 graduate hours. No professional credit. Required M.S. in library and information science degree core course.
","Melissa Ocepek, Jodi Schneider"
502A,Libraries Info and Society,"Required core course for MS/LIS students. Explores major issues in the library and information science professions as they involve their communities of users and sponsors. Analyzes specific situations that reflect the professional agenda of these fields, including intellectual freedom, community service, professional ethics, social responsibilities, intellectual property, literacy, historical and international models, the socio-cultural role of libraries and information agencies and professionalism in general, focusing in particular on the interrelationships among these issues. Course Information: 2 or 4 graduate hours. No professional credit. Prerequisite: Required M.S. in library and information science degree core course.",Terry Weech
502AO,Libraries Info and Society,"Required core course for MS/LIS students. Explores major issues in the library and information science professions as they involve their communities of users and sponsors. Analyzes specific situations that reflect the professional agenda of these fields, including intellectual freedom, community service, professional ethics, social responsibilities, intellectual property, literacy, historical and international models, the socio-cultural role of libraries and information agencies and professionalism in general, focusing in particular on the interrelationships among these issues. Course Information: 2 or 4 graduate hours. No professional credit. Prerequisite: Required M.S. in library and information science degree core course.",Kathryn LaBarre
502AO2,Libraries Info and Society,"Required core course for MS/LIS students. Explores major issues in the library and information science professions as they involve their communities of users and sponsors. Analyzes specific situations that reflect the professional agenda of these fields, including intellectual freedom, community service, professional ethics, social responsibilities, intellectual property, literacy, historical and international models, the socio-cultural role of libraries and information agencies and professionalism in general, focusing in particular on the interrelationships among these issues. Course Information: 2 or 4 graduate hours. No professional credit. Prerequisite: Required M.S. in library and information science degree core course.",Emily Lawrence
502AO3,Libraries Info and Society,"Required core course for MS/LIS students. Explores major issues in the library and information science professions as they involve their communities of users and sponsors. Analyzes specific situations that reflect the professional agenda of these fields, including intellectual freedom, community service, professional ethics, social responsibilities, intellectual property, literacy, historical and international models, the socio-cultural role of libraries and information agencies and professionalism in general, focusing in particular on the interrelationships among these issues. Course Information: 2 or 4 graduate hours. No professional credit. Prerequisite: Required M.S. in library and information science degree core course.",Kate Williams
17-18,iSchool Prosem 17-18,iSchool Prosem 17-18,Jana Diesner
PR438-442,Student Teaching Seminar,Student Teaching Seminar,"Ann Ohms, Ruth Shasteen"
501AL1, Information Organization and Access Metacourse,Metacourse for all on campus 501,"Melissa Ocepek, Jodi Schneider"
